stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Tsao Han Wen\Desktop\GITHUB\hello_git\final\allegroRedemo\bin\Debug\allegro5.cfg r
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:264  al_install_system                [   0.00000] Allegro version: 5.2.4
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00014] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.04160] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.04161] Using desktop window: 0000000000010010
audio    I              audio.c:347  do_install_audio                 [   0.04167] Using DirectSound driver
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.04170] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.04170] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.04171] added dtor for voice 0000000001079B40, func 0000000061BEEBB3
dtor     D               dtor.c:196  _al_register_destructor          [   0.04172] added dtor for mixer 000000000107A2E0, func 0000000061BEA1B3
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.04172] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.04173] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.04287] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.04289] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.04292] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.04293] added dtor for sample_instance 000000000107B010, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04294] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04294] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04295] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04295] added dtor for sample_instance 000000000107B410, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04296] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04296] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04296] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04297] added dtor for sample_instance 000000000107B940, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04297] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04298] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04298] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04298] added dtor for sample_instance 000000000107BA60, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04299] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04299] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04299] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04300] added dtor for sample_instance 000000000107BC10, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04300] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04304] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04304] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04305] added dtor for sample_instance 000000000107BD30, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04305] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04306] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04306] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04306] added dtor for sample_instance 000000000107BE50, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04307] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04307] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04307] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04308] added dtor for sample_instance 000000000107BF70, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04308] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04309] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04309] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04310] added dtor for sample_instance 000000000107A630, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04310] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04312] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04312] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04313] added dtor for sample_instance 00000000026A7FE0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04322] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04323] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04324] 
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.04336] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:699  load_library_at_path             [   0.04336] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:702  load_library_at_path             [   0.04404] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.06889] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.06955] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.06956] al_display=000000000107C090
