stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Tsao Han Wen\Desktop\GITHUB\hello_git\final\allegroRedemo\bin\Debug\allegro5.cfg r
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:264  al_install_system                [   0.00000] Allegro version: 5.2.4
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00014] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.02824] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.02825] Using desktop window: 0000000000010010
audio    I              audio.c:347  do_install_audio                 [   0.02831] Using DirectSound driver
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.02834] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.02834] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.02835] added dtor for voice 0000000001049B40, func 0000000061BEEBB3
dtor     D               dtor.c:196  _al_register_destructor          [   0.02835] added dtor for mixer 000000000104A2E0, func 0000000061BEA1B3
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.02836] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.02836] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.02939] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.02940] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.02943] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.02944] added dtor for sample_instance 000000000104B010, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02945] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02945] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02946] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02946] added dtor for sample_instance 000000000104B410, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02947] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02947] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02947] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02948] added dtor for sample_instance 000000000104A520, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02959] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02960] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02960] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02961] added dtor for sample_instance 000000000104A640, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02961] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02961] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02962] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02963] added dtor for sample_instance 000000000267FFF0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02963] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02966] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02967] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02967] added dtor for sample_instance 0000000002680110, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02968] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02968] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02968] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02969] added dtor for sample_instance 0000000002680230, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02969] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02969] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02970] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02970] added dtor for sample_instance 0000000002680350, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02970] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02971] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02971] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02971] added dtor for sample_instance 0000000002680580, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02972] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02972] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02972] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02973] added dtor for sample_instance 00000000026806A0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02973] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02974] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02974] 
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.02986] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:699  load_library_at_path             [   0.02987] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:702  load_library_at_path             [   0.03063] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.05260] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.05325] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.05325] al_display=000000000104BD90
