stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Tsao Han Wen\Desktop\GITHUB\hello_git\final\allegroRedemo\bin\Debug\allegro5.cfg r
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:264  al_install_system                [   0.00000] Allegro version: 5.2.4
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00014] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.03263] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.03264] Using desktop window: 0000000000010010
audio    I              audio.c:347  do_install_audio                 [   0.03269] Using DirectSound driver
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.03272] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.03273] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.03273] added dtor for voice 00000000000C9AF0, func 0000000061BEEBB3
dtor     D               dtor.c:196  _al_register_destructor          [   0.03274] added dtor for mixer 00000000000CA290, func 0000000061BEA1B3
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.03274] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.03275] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.03379] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.03380] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.03383] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.03384] added dtor for sample_instance 00000000000CAFC0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03385] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03385] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03386] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03386] added dtor for sample_instance 00000000000CB0E0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03387] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03387] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03387] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03388] added dtor for sample_instance 00000000000CB250, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03388] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03389] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03389] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03389] added dtor for sample_instance 00000000000CBA60, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03390] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03390] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03390] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03391] added dtor for sample_instance 00000000000CA560, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03397] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03400] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03401] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03401] added dtor for sample_instance 00000000000CA680, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03402] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03402] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03402] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03403] added dtor for sample_instance 000000000271FFD0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03403] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03403] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03404] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03404] added dtor for sample_instance 00000000027200F0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03405] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03405] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03405] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03406] added dtor for sample_instance 0000000002720320, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03406] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03406] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03407] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03407] added dtor for sample_instance 0000000002720440, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03407] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03408] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03408] 
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.03419] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:699  load_library_at_path             [   0.03419] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:702  load_library_at_path             [   0.03506] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.06291] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.06369] faux_fullscreen=0
